Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/generate,10,0,9484.67449999589,9479.328110002098,9468.052000011085,9484.67449999589,99.0,1.0527508413740951,0.0,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500
,Aggregated,10,0,9484.67449999589,9479.328110002098,9468.052000011085,9484.67449999589,99.0,1.0527508413740951,0.0,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500
