Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/generate,60,0,16000,13614.971858333593,1115.4096999962348,21406.205099992803,99.0,2.561059735380616,0.0,16000,19000,19000,20000,20000,21000,21000,21000,21000,21000,21000
,Aggregated,60,0,16000,13614.971858333593,1115.4096999962348,21406.205099992803,99.0,2.561059735380616,0.0,16000,19000,19000,20000,20000,21000,21000,21000,21000,21000,21000
