Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/generate,56,0,18000,15653.887278571347,3232.08839999279,21004.3338000105,99.0,2.2354872227348364,0.0,18000,20000,20000,20000,21000,21000,21000,21000,21000,21000,21000
,Aggregated,56,0,18000,15653.887278571347,3232.08839999279,21004.3338000105,99.0,2.2354872227348364,0.0,18000,20000,20000,20000,21000,21000,21000,21000,21000,21000,21000
